,ranks,experiment,iteration,time_seconds,nodes,percent_cpu_utilization
324,256,container-with-usernetes,2,26.0,16,99.4
325,512,container-with-usernetes,14,16.0,32,99.3
326,512,container-with-usernetes,15,16.0,32,99.3
327,512,container-with-usernetes,6,16.0,32,99.3
328,512,container-with-usernetes,18,16.0,32,99.3
329,256,container-with-usernetes,4,26.0,16,99.5
330,256,container-with-usernetes,20,26.0,16,99.4
331,256,container-with-usernetes,18,26.0,16,99.5
332,256,container-with-usernetes,16,26.0,16,99.5
333,256,container-with-usernetes,7,26.0,16,99.5
334,64,container-with-usernetes,2,82.0,4,99.6
335,512,container-with-usernetes,4,16.0,32,99.3
336,512,container-with-usernetes,1,16.0,32,99.3
337,128,container-with-usernetes,1,46.0,8,99.5
338,64,container-with-usernetes,6,83.0,4,99.6
339,256,container-with-usernetes,15,26.0,16,99.4
340,256,container-with-usernetes,5,26.0,16,99.5
341,64,container-with-usernetes,17,83.0,4,99.6
342,128,container-with-usernetes,18,46.0,8,99.5
343,512,container-with-usernetes,12,16.0,32,99.3
344,64,container-with-usernetes,18,83.0,4,99.6
345,256,container-with-usernetes,9,26.0,16,99.4
346,256,container-with-usernetes,19,26.0,16,99.4
347,128,container-with-usernetes,8,46.0,8,99.5
348,512,container-with-usernetes,11,16.0,32,99.3
349,64,container-with-usernetes,3,83.0,4,99.6
350,64,container-with-usernetes,10,82.0,4,99.6
351,64,container-with-usernetes,16,82.0,4,99.6
352,64,container-with-usernetes,8,83.0,4,99.6
353,128,container-with-usernetes,6,46.0,8,99.5
354,256,container-with-usernetes,14,26.0,16,99.5
355,512,container-with-usernetes,13,16.0,32,99.3
356,128,container-with-usernetes,3,46.0,8,99.5
357,128,container-with-usernetes,11,46.0,8,99.5
358,128,container-with-usernetes,9,46.0,8,99.5
359,64,container-with-usernetes,1,83.0,4,99.6
360,512,container-with-usernetes,20,16.0,32,99.3
361,256,container-with-usernetes,8,26.0,16,99.4
362,64,container-with-usernetes,5,82.0,4,99.6
363,256,container-with-usernetes,3,26.0,16,99.4
364,512,container-with-usernetes,8,16.0,32,99.3
365,64,container-with-usernetes,14,83.0,4,99.6
366,512,container-with-usernetes,3,16.0,32,99.3
367,128,container-with-usernetes,4,46.0,8,99.5
368,128,container-with-usernetes,2,46.0,8,99.5
369,256,container-with-usernetes,6,26.0,16,99.5
370,64,container-with-usernetes,12,82.0,4,99.6
371,128,container-with-usernetes,7,46.0,8,99.5
372,128,container-with-usernetes,12,46.0,8,99.5
373,64,container-with-usernetes,13,83.0,4,99.6
374,512,container-with-usernetes,9,16.0,32,99.3
375,64,container-with-usernetes,20,83.0,4,99.6
376,256,container-with-usernetes,1,26.0,16,99.4
377,512,container-with-usernetes,19,16.0,32,99.3
378,512,container-with-usernetes,10,16.0,32,99.3
379,64,container-with-usernetes,15,83.0,4,99.6
380,256,container-with-usernetes,11,26.0,16,99.4
381,256,container-with-usernetes,10,26.0,16,99.4
382,512,container-with-usernetes,5,15.0,32,99.3
383,512,container-with-usernetes,16,16.0,32,99.3
384,128,container-with-usernetes,13,46.0,8,99.5
385,512,container-with-usernetes,17,16.0,32,99.3
386,64,container-with-usernetes,19,82.0,4,99.6
387,512,container-with-usernetes,2,16.0,32,99.3
388,128,container-with-usernetes,17,46.0,8,99.5
389,128,container-with-usernetes,19,46.0,8,99.5
390,256,container-with-usernetes,13,26.0,16,99.4
391,64,container-with-usernetes,4,83.0,4,99.6
392,128,container-with-usernetes,16,46.0,8,99.5
393,128,container-with-usernetes,5,45.0,8,99.5
394,128,container-with-usernetes,10,46.0,8,99.5
395,128,container-with-usernetes,14,46.0,8,99.5
396,128,container-with-usernetes,15,46.0,8,99.5
397,256,container-with-usernetes,17,26.0,16,99.4
398,512,container-with-usernetes,7,16.0,32,99.3
399,128,container-with-usernetes,20,46.0,8,99.5
